-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2010 through 12/31/2022 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M_MAX     MERRA-2 Temperature at 2 Meters Maximum (C) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M_MAX,2010,16.0,78.75,33.07,37.99,41.25,43.4,43.28,40.67,34.76,32.04,30.19,30.97,29.72,29.83,43.4
T2M_MAX,2010,16.0,79.375,32.71,38.24,41.84,44.57,44.86,41.58,36.12,34.15,31.98,31.64,29.98,29.6,44.86
T2M_MAX,2010,16.0,80.0,32.5,38.35,41.23,44.85,44.85,41.83,36.7,34.85,33.01,32.48,30.37,29.13,44.85
T2M_MAX,2010,16.0,80.625,31.95,36.84,38.55,41.15,41.8,40.13,35.42,33.76,32.44,31.81,29.95,28.72,41.8
T2M_MAX,2010,16.0,81.25,28.74,31.14,32.82,33.59,37.25,35.71,31.95,31.57,31.06,31.19,28.78,28.14,37.25
T2M_MAX,2010,16.0,81.875,26.51,27.84,29.64,30.44,33.37,31.92,30.37,30.41,30.2,30.71,28.67,27.62,33.37
T2M_MAX,2010,16.0,82.5,26.73,27.35,29.45,30.24,31.3,31.07,30.07,30.36,30.01,30.64,28.8,27.69,31.3
T2M_MAX,2010,16.0,83.125,26.72,27.3,29.36,30.27,31.24,31.2,30.13,30.21,29.98,30.5,28.83,27.78,31.24
T2M_MAX,2010,16.0,83.75,26.52,27.15,29.21,30.17,31.15,31.05,30.17,29.93,29.88,30.2,28.77,27.94,31.15
T2M_MAX,2010,16.5,78.75,33.07,37.79,41.2,43.41,43.64,41.33,34.12,32.29,30.51,31.07,29.72,29.67,43.64
T2M_MAX,2010,16.5,79.375,33.84,38.73,42.12,44.76,45.14,42.33,36.02,34.22,32.3,31.96,30.21,30.06,45.14
T2M_MAX,2010,16.5,80.0,34.4,39.7,42.74,46.04,46.04,43.0,36.89,34.41,32.94,31.97,30.44,29.19,46.04
T2M_MAX,2010,16.5,80.625,33.9,39.56,42.1,44.99,45.35,41.12,35.93,33.63,32.4,31.9,30.38,28.77,45.35
T2M_MAX,2010,16.5,81.25,32.88,37.71,39.71,40.45,41.8,39.3,33.6,32.47,31.48,31.56,30.0,29.16,41.8
